,latitude,longitude,date,time,symbol,temperature,wind,weatherRank,maxRank
41,59.48197207535069,10.787104858100001,2022-11-05,12:00:00,fair_day,9.9,2.2,0.8743094362053154,0.8743094362053154
40,59.48197207535069,10.787104858100001,2022-11-05,11:00:00,clearsky_day,9.6,2.3,0.874174615813909,0.8743094362053154
42,59.48197207535069,10.787104858100001,2022-11-05,13:00:00,fair_day,9.7,2.4,0.8725202192047632,0.8743094362053154
43,59.48197207535069,10.787104858100001,2022-11-05,14:00:00,fair_night,9.3,2.0,0.870290322620767,0.8743094362053154
39,59.48197207535069,10.787104858100001,2022-11-05,10:00:00,clearsky_day,8.8,2.1,0.8688366038991343,0.8743094362053154
44,59.48197207535069,10.787104858100001,2022-11-05,15:00:00,fair_night,8.2,1.4,0.8633529168389472,0.8743094362053154
38,59.48197207535069,10.787104858100001,2022-11-05,09:00:00,fair_day,6.8,1.0,0.8545840014980038,0.8743094362053154
45,59.48197207535069,10.787104858100001,2022-11-05,16:00:00,fair_night,6.8,1.4,0.8542651232012121,0.8743094362053154
34,59.48197207535069,10.787104858100001,2022-11-05,05:00:00,fair_day,7.2,3.1,0.853851699105254,0.8743094362053154
35,59.48197207535069,10.787104858100001,2022-11-05,06:00:00,fair_day,6.8,2.3,0.853127594880496,0.8743094362053154
32,59.48197207535069,10.787104858100001,2022-11-05,03:00:00,fair_day,8.4,4.8,0.8526983599052658,0.8743094362053154
33,59.48197207535069,10.787104858100001,2022-11-05,04:00:00,fair_day,7.7,4.4,0.8511040056413096,0.8743094362053154
46,59.48197207535069,10.787104858100001,2022-11-05,17:00:00,fair_night,6.0,1.2,0.8495681332433381,0.8743094362053154
36,59.48197207535069,10.787104858100001,2022-11-05,07:00:00,fair_day,6.0,1.5,0.8493031999677438,0.8743094362053154
37,59.48197207535069,10.787104858100001,2022-11-05,08:00:00,fair_day,5.6,0.5,0.8476672555592217,0.8743094362053154
31,59.48197207535069,10.787104858100001,2022-11-05,02:00:00,partlycloudy_night,8.9,5.7,0.8418674311686508,0.8743094362053154
47,59.48197207535069,10.787104858100001,2022-11-05,18:00:00,partlycloudy_night,5.3,1.0,0.8416927155636967,0.8743094362053154
29,59.48197207535069,10.787104858100001,2022-11-05,00:00:00,partlycloudy_night,8.9,6.4,0.8296065228490395,0.8743094362053154
30,59.48197207535069,10.787104858100001,2022-11-05,01:00:00,partlycloudy_night,9.0,6.6,0.8259960008042103,0.8743094362053154
40,59.30210775416694,10.787104858100001,2022-11-05,11:00:00,fair_day,10.0,2.9,0.8736201504168817,0.8736201504168817
41,59.30210775416694,10.787104858100001,2022-11-05,12:00:00,fair_day,10.0,3.2,0.8727741267169807,0.8736201504168817
42,59.30210775416694,10.787104858100001,2022-11-05,13:00:00,fair_day,9.9,3.3,0.871722757967554,0.8736201504168817
39,59.30210775416694,10.787104858100001,2022-11-05,10:00:00,fair_day,9.6,2.6,0.8714110060039785,0.8736201504168817
38,59.30210775416694,10.787104858100001,2022-11-05,09:00:00,fair_day,9.3,2.9,0.868575918001488,0.8736201504168817
43,59.30210775416694,10.787104858100001,2022-11-05,14:00:00,fair_night,9.6,3.7,0.8680277244681904,0.8736201504168817
44,59.30210775416694,10.787104858100001,2022-11-05,15:00:00,fair_night,8.8,2.6,0.8657563656806265,0.8736201504168817
37,59.30210775416694,10.787104858100001,2022-11-05,08:00:00,fair_day,8.4,2.4,0.8633949033528633,0.8736201504168817
36,59.30210775416694,10.787104858100001,2022-11-05,07:00:00,fair_day,8.3,2.8,0.8618822241891141,0.8736201504168817
45,59.30210775416694,10.787104858100001,2022-11-05,16:00:00,fair_night,8.2,2.6,0.8616515575036319,0.8736201504168817
35,59.30210775416694,10.787104858100001,2022-11-05,06:00:00,fair_day,8.9,4.4,0.8592309628711543,0.8736201504168817
47,59.30210775416694,10.787104858100001,2022-11-05,18:00:00,partlycloudy_night,8.2,3.4,0.855481464112406,0.8736201504168817
46,59.30210775416694,10.787104858100001,2022-11-05,17:00:00,partlycloudy_night,7.9,2.7,0.855463332787836,0.8736201504168817
34,59.30210775416694,10.787104858100001,2022-11-05,05:00:00,fair_day,9.1,5.2,0.8536120147969511,0.8736201504168817
33,59.30210775416694,10.787104858100001,2022-11-05,04:00:00,fair_day,9.0,5.6,0.8479534837361026,0.8736201504168817
32,59.30210775416694,10.787104858100001,2022-11-05,03:00:00,fair_day,9.1,6.7,0.8283694848716268,0.8736201504168817
31,59.30210775416694,10.787104858100001,2022-11-05,02:00:00,partlycloudy_night,9.3,7.5,0.8041495465051586,0.8736201504168817
30,59.30210775416694,10.787104858100001,2022-11-05,01:00:00,partlycloudy_night,9.3,8.6,0.76731384000208,0.8736201504168817
29,59.30210775416694,10.787104858100001,2022-11-05,00:00:00,partlycloudy_night,9.0,8.8,0.7582148238432029,0.8736201504168817
42,59.84170071771818,10.787104858100001,2022-11-05,13:00:00,clearsky_day,9.5,2.7,0.872678117923596,0.872678117923596
41,59.84170071771818,10.787104858100001,2022-11-05,12:00:00,clearsky_day,9.3,2.8,0.871021830475498,0.872678117923596
43,59.84170071771818,10.787104858100001,2022-11-05,14:00:00,clearsky_night,9.1,2.8,0.8696080011774846,0.872678117923596
40,59.84170071771818,10.787104858100001,2022-11-05,11:00:00,clearsky_day,8.9,3.0,0.8676974207030883,0.872678117923596
39,59.84170071771818,10.787104858100001,2022-11-05,10:00:00,clearsky_day,8.3,2.6,0.8645270363363078,0.872678117923596
44,59.84170071771818,10.787104858100001,2022-11-05,15:00:00,fair_night,7.9,2.2,0.8603727495615509,0.872678117923596
38,59.84170071771818,10.787104858100001,2022-11-05,09:00:00,clearsky_day,7.2,2.6,0.8572875444806694,0.872678117923596
45,59.84170071771818,10.787104858100001,2022-11-05,16:00:00,fair_night,6.5,2.3,0.8512738164055046,0.872678117923596
37,59.84170071771818,10.787104858100001,2022-11-05,08:00:00,clearsky_day,6.4,3.6,0.8493356582328514,0.872678117923596
34,59.84170071771818,10.787104858100001,2022-11-05,05:00:00,fair_day,7.4,4.8,0.8460638459330754,0.872678117923596
36,59.84170071771818,10.787104858100001,2022-11-05,07:00:00,clearsky_day,6.2,4.3,0.8445277457149707,0.872678117923596
46,59.84170071771818,10.787104858100001,2022-11-05,17:00:00,partlycloudy_night,6.0,2.8,0.8432844097606939,0.872678117923596
47,59.84170071771818,10.787104858100001,2022-11-05,18:00:00,partlycloudy_night,5.4,2.4,0.8406288815191534,0.872678117923596
35,59.84170071771818,10.787104858100001,2022-11-05,06:00:00,fair_day,6.6,4.9,0.8401188798213,0.872678117923596
33,59.84170071771818,10.787104858100001,2022-11-05,04:00:00,fair_day,8.2,5.9,0.837956810959108,0.872678117923596
31,59.84170071771818,10.787104858100001,2022-11-05,02:00:00,partlycloudy_night,8.9,7.4,0.8043460947521109,0.872678117923596
32,59.84170071771818,10.787104858100001,2022-11-05,03:00:00,partlycloudy_day,8.8,7.4,0.8036503553402834,0.872678117923596
29,59.84170071771818,10.787104858100001,2022-11-05,00:00:00,rain,9.2,8.1,0.5802154019562895,0.872678117923596
30,59.84170071771818,10.787104858100001,2022-11-05,01:00:00,lightrainshowers_night,8.8,8.1,0.19001939084099606,0.872678117923596
42,59.48197207535069,10.420373395955446,2022-11-05,13:00:00,fair_day,9.6,2.7,0.8711960228911559,0.8711960228911559
43,59.48197207535069,10.420373395955446,2022-11-05,14:00:00,fair_night,9.8,3.6,0.8698915838230931,0.8711960228911559
41,59.48197207535069,10.420373395955446,2022-11-05,12:00:00,clearsky_day,8.9,2.1,0.8695323433109619,0.8711960228911559
40,59.48197207535069,10.420373395955446,2022-11-05,11:00:00,clearsky_day,8.1,1.8,0.8644600838998544,0.8711960228911559
44,59.48197207535069,10.420373395955446,2022-11-05,15:00:00,fair_night,9.2,4.0,0.8637390556011961,0.8711960228911559
39,59.48197207535069,10.420373395955446,2022-11-05,10:00:00,clearsky_day,7.2,1.7,0.8586847407177228,0.8711960228911559
45,59.48197207535069,10.420373395955446,2022-11-05,16:00:00,fair_night,8.4,4.1,0.8576426456087254,0.8711960228911559
46,59.48197207535069,10.420373395955446,2022-11-05,17:00:00,fair_night,7.8,3.5,0.8564124836948023,0.8711960228911559
38,59.48197207535069,10.420373395955446,2022-11-05,09:00:00,clearsky_day,6.5,1.5,0.854516644717356,0.8711960228911559
37,59.48197207535069,10.420373395955446,2022-11-05,08:00:00,clearsky_day,6.2,1.0,0.8531103233549431,0.8711960228911559
47,59.48197207535069,10.420373395955446,2022-11-05,18:00:00,partlycloudy_night,7.1,2.3,0.8510481692188197,0.8711960228911559
36,59.48197207535069,10.420373395955446,2022-11-05,07:00:00,clearsky_day,6.2,3.6,0.8481263477242273,0.8711960228911559
34,59.48197207535069,10.420373395955446,2022-11-05,05:00:00,clearsky_day,6.8,5.7,0.8341457450614925,0.8711960228911559
35,59.48197207535069,10.420373395955446,2022-11-05,06:00:00,clearsky_day,6.5,5.8,0.8307937908452859,0.8711960228911559
32,59.48197207535069,10.420373395955446,2022-11-05,03:00:00,clearsky_day,8.1,6.5,0.8281923594537545,0.8711960228911559
33,59.48197207535069,10.420373395955446,2022-11-05,04:00:00,clearsky_day,7.5,6.8,0.8173455324289198,0.8711960228911559
31,59.48197207535069,10.420373395955446,2022-11-05,02:00:00,fair_night,8.7,7.3,0.8098555246460639,0.8711960228911559
30,59.48197207535069,10.420373395955446,2022-11-05,01:00:00,partlycloudy_night,9.2,8.3,0.7770768474650989,0.8711960228911559
29,59.48197207535069,10.420373395955446,2022-11-05,00:00:00,partlycloudy_night,9.7,9.8,0.7306462756791696,0.8711960228911559
41,59.66183639653443,10.420373395955446,2022-11-05,12:00:00,clearsky_day,9.3,3.0,0.8705124006426636,0.8705124006426636
40,59.66183639653443,10.420373395955446,2022-11-05,11:00:00,clearsky_day,8.9,2.9,0.867960716857244,0.8705124006426636
44,59.66183639653443,10.420373395955446,2022-11-05,15:00:00,clearsky_night,8.7,2.3,0.8678275019806518,0.8705124006426636
42,59.66183639653443,10.420373395955446,2022-11-05,13:00:00,fair_day,9.4,3.4,0.8677754529591529,0.8705124006426636
43,59.66183639653443,10.420373395955446,2022-11-05,14:00:00,fair_night,9.2,3.0,0.8676041390137335,0.8705124006426636
39,59.66183639653443,10.420373395955446,2022-11-05,10:00:00,clearsky_day,8.2,3.2,0.8623141455685208,0.8705124006426636
45,59.66183639653443,10.420373395955446,2022-11-05,16:00:00,fair_night,7.8,2.6,0.8589834004894983,0.8705124006426636
38,59.66183639653443,10.420373395955446,2022-11-05,09:00:00,clearsky_day,7.4,3.0,0.8576171706966091,0.8705124006426636
46,59.66183639653443,10.420373395955446,2022-11-05,17:00:00,fair_night,7.2,3.0,0.8541333025006412,0.8705124006426636
37,59.66183639653443,10.420373395955446,2022-11-05,08:00:00,clearsky_day,6.4,3.5,0.849728479436764,0.8705124006426636
47,59.66183639653443,10.420373395955446,2022-11-05,18:00:00,partlycloudy_night,6.8,3.0,0.8476424243571319,0.8705124006426636
36,59.66183639653443,10.420373395955446,2022-11-05,07:00:00,clearsky_day,6.1,4.1,0.8451274467889344,0.8705124006426636
35,59.66183639653443,10.420373395955446,2022-11-05,06:00:00,clearsky_day,6.5,5.1,0.839740668705262,0.8705124006426636
33,59.66183639653443,10.420373395955446,2022-11-05,04:00:00,fair_day,7.8,5.7,0.8383656028897629,0.8705124006426636
32,59.66183639653443,10.420373395955446,2022-11-05,03:00:00,fair_day,8.3,6.0,0.8369706425229977,0.8705124006426636
34,59.66183639653443,10.420373395955446,2022-11-05,05:00:00,clearsky_day,7.1,5.7,0.836033195723884,0.8705124006426636
31,59.66183639653443,10.420373395955446,2022-11-05,02:00:00,partlycloudy_night,8.7,6.0,0.8357404008286745,0.8705124006426636
30,59.66183639653443,10.420373395955446,2022-11-05,01:00:00,partlycloudy_night,9.2,8.0,0.7873428558589715,0.8705124006426636
29,59.66183639653443,10.420373395955446,2022-11-05,00:00:00,lightrainshowers_night,9.5,9.3,0.15364317713940367,0.8705124006426636
42,59.30210775416694,10.420373395955446,2022-11-05,13:00:00,fair_day,9.5,2.9,0.870002155210546,0.870002155210546
41,59.30210775416694,10.420373395955446,2022-11-05,12:00:00,fair_day,9.1,2.5,0.8680541282874854,0.870002155210546
43,59.30210775416694,10.420373395955446,2022-11-05,14:00:00,fair_night,9.0,2.7,0.8669360960034429,0.870002155210546
40,59.30210775416694,10.420373395955446,2022-11-05,11:00:00,clearsky_day,8.3,2.3,0.8650908673509071,0.870002155210546
44,59.30210775416694,10.420373395955446,2022-11-05,15:00:00,fair_night,7.8,2.1,0.8598638599126749,0.870002155210546
39,59.30210775416694,10.420373395955446,2022-11-05,10:00:00,clearsky_day,7.3,2.0,0.8589510022254728,0.870002155210546
38,59.30210775416694,10.420373395955446,2022-11-05,09:00:00,clearsky_day,6.1,1.5,0.8520980507694939,0.870002155210546
45,59.30210775416694,10.420373395955446,2022-11-05,16:00:00,fair_night,6.4,1.8,0.8513806266412848,0.870002155210546
32,59.30210775416694,10.420373395955446,2022-11-05,03:00:00,clearsky_day,6.8,4.3,0.8482012026533626,0.870002155210546
33,59.30210775416694,10.420373395955446,2022-11-05,04:00:00,clearsky_day,6.0,3.6,0.8469323602333468,0.870002155210546
35,59.30210775416694,10.420373395955446,2022-11-05,06:00:00,clearsky_day,5.4,2.8,0.8459619689919919,0.870002155210546
34,59.30210775416694,10.420373395955446,2022-11-05,05:00:00,clearsky_day,5.6,3.3,0.8456953529355107,0.870002155210546
37,59.30210775416694,10.420373395955446,2022-11-05,08:00:00,clearsky_day,4.8,1.3,0.8448482673350242,0.870002155210546
46,59.30210775416694,10.420373395955446,2022-11-05,17:00:00,fair_night,5.3,1.9,0.844795903077443,0.870002155210546
36,59.30210775416694,10.420373395955446,2022-11-05,07:00:00,clearsky_day,4.6,1.8,0.843255200239527,0.870002155210546
31,59.30210775416694,10.420373395955446,2022-11-05,02:00:00,fair_night,7.6,5.5,0.8398178110791753,0.870002155210546
47,59.30210775416694,10.420373395955446,2022-11-05,18:00:00,partlycloudy_night,4.8,2.0,0.8379153179959602,0.870002155210546
30,59.30210775416694,10.420373395955446,2022-11-05,01:00:00,partlycloudy_night,8.3,6.7,0.8188766103545195,0.870002155210546
29,59.30210775416694,10.420373395955446,2022-11-05,00:00:00,partlycloudy_night,9.0,7.9,0.7892745520325526,0.870002155210546
41,59.66183639653443,10.787104858100001,2022-11-05,12:00:00,clearsky_day,9.1,2.9,0.8693618674988058,0.8693618674988058
42,59.66183639653443,10.787104858100001,2022-11-05,13:00:00,clearsky_day,9.1,2.9,0.8693618674988058,0.8693618674988058
43,59.66183639653443,10.787104858100001,2022-11-05,14:00:00,clearsky_night,8.5,2.7,0.865673660066214,0.8693618674988058
40,59.66183639653443,10.787104858100001,2022-11-05,11:00:00,clearsky_day,8.5,2.8,0.865443609827174,0.8693618674988058
39,59.66183639653443,10.787104858100001,2022-11-05,10:00:00,clearsky_day,7.6,2.6,0.8598702365361881,0.8693618674988058
44,59.66183639653443,10.787104858100001,2022-11-05,15:00:00,fair_night,7.2,2.0,0.8561110032740759,0.8693618674988058
38,59.66183639653443,10.787104858100001,2022-11-05,09:00:00,clearsky_day,6.6,2.5,0.8537247940248395,0.8693618674988058
37,59.66183639653443,10.787104858100001,2022-11-05,08:00:00,clearsky_day,5.5,2.6,0.846978785327768,0.8693618674988058
45,59.66183639653443,10.787104858100001,2022-11-05,16:00:00,fair_night,5.7,2.1,0.846814739718482,0.8693618674988058
34,59.66183639653443,10.787104858100001,2022-11-05,05:00:00,fair_day,6.2,3.6,0.8459265689288962,0.8693618674988058
36,59.66183639653443,10.787104858100001,2022-11-05,07:00:00,clearsky_day,5.4,3.0,0.8454525391591575,0.8693618674988058
33,59.66183639653443,10.787104858100001,2022-11-05,04:00:00,fair_day,7.3,4.8,0.8454199766885044,0.8693618674988058
35,59.66183639653443,10.787104858100001,2022-11-05,06:00:00,fair_day,5.7,3.6,0.8429705422966968,0.8693618674988058
46,59.66183639653443,10.787104858100001,2022-11-05,17:00:00,fair_night,4.7,2.3,0.8408785384304198,0.8693618674988058
32,59.66183639653443,10.787104858100001,2022-11-05,03:00:00,fair_day,8.1,5.9,0.8372845493548434,0.8693618674988058
31,59.66183639653443,10.787104858100001,2022-11-05,02:00:00,partlycloudy_night,8.3,6.7,0.8188766103545195,0.8693618674988058
30,59.66183639653443,10.787104858100001,2022-11-05,01:00:00,partlycloudy_night,8.2,8.0,0.780435811164173,0.8693618674988058
29,59.66183639653443,10.787104858100001,2022-11-05,00:00:00,partlycloudy_night,8.2,8.3,0.7701698027703004,0.8693618674988058
47,59.66183639653443,10.787104858100001,2022-11-05,18:00:00,fog,4.2,2.3,0.2715697312386226,0.8693618674988058
29,59.30210775416694,9.320179009521784,2022-11-05,00:00:00,partlycloudy_night,9.7,1.9,0.8693213574077828,0.8693213574077828
30,59.30210775416694,9.320179009521784,2022-11-05,01:00:00,fair_night,9.4,3.0,0.869024206841614,0.8693213574077828
43,59.30210775416694,9.320179009521784,2022-11-05,14:00:00,fair_night,8.7,1.3,0.8668534239791239,0.8693213574077828
