lat,lon,country
57.97,7.53,Norway
57.97,7.61,Norway
58.01,7.02,Norway
58.01,7.1,Norway
58.01,7.36,Norway
58.01,7.44,Norway
58.01,7.53,Norway
58.01,7.61,Norway
58.01,7.7,Norway
58.01,7.78,Norway
58.01,7.87,Norway
58.05,6.76,Norway
58.05,6.93,Norway
58.05,7.02,Norway
58.05,7.1,Norway
58.05,7.19,Norway
58.05,7.27,Norway
58.05,7.36,Norway
58.05,7.44,Norway
58.05,7.53,Norway
58.05,7.61,Norway
58.05,7.7,Norway
58.05,7.78,Norway
58.05,7.87,Norway
58.05,7.95,Norway
58.05,8.04,Norway
58.09,6.59,Norway
58.09,6.68,Norway
58.09,6.76,Norway
58.09,6.85,Norway
58.09,6.93,Norway
58.09,7.02,Norway
58.09,7.1,Norway
58.09,7.19,Norway
58.09,7.27,Norway
58.09,7.36,Norway
58.09,7.44,Norway
58.09,7.53,Norway
58.09,7.61,Norway
58.09,7.7,Norway
58.09,7.78,Norway
58.09,7.87,Norway
58.09,7.95,Norway
58.09,8.04,Norway
58.09,8.12,Norway
58.09,8.21,Norway
58.14,6.59,Norway
58.14,6.68,Norway
58.14,6.76,Norway
58.14,6.85,Norway
58.14,6.93,Norway
58.14,7.02,Norway
58.14,7.1,Norway
58.14,7.19,Norway
58.14,7.27,Norway
58.14,7.36,Norway
58.14,7.44,Norway
58.14,7.53,Norway
58.14,7.61,Norway
58.14,7.7,Norway
58.14,7.78,Norway
58.14,7.87,Norway
58.14,7.95,Norway
58.14,8.04,Norway
58.14,8.12,Norway
58.14,8.21,Norway
58.14,8.29,Norway
58.18,6.68,Norway
58.18,6.76,Norway
58.18,6.85,Norway
58.18,6.93,Norway
58.18,7.02,Norway
58.18,7.1,Norway
58.18,7.19,Norway
58.18,7.27,Norway
58.18,7.36,Norway
58.18,7.44,Norway
58.18,7.53,Norway
58.18,7.61,Norway
58.18,7.7,Norway
58.18,7.78,Norway
58.18,7.87,Norway
58.18,7.95,Norway
58.18,8.04,Norway
58.18,8.12,Norway
58.18,8.21,Norway
58.18,8.29,Norway
58.18,8.38,Norway
58.22,6.51,Norway
58.22,6.59,Norway
58.22,6.68,Norway
58.22,6.76,Norway
58.22,6.85,Norway
58.22,6.93,Norway
58.22,7.02,Norway
58.22,7.1,Norway
58.22,7.19,Norway
58.22,7.27,Norway
58.22,7.36,Norway
58.22,7.44,Norway
58.22,7.53,Norway
58.22,7.61,Norway
58.22,7.7,Norway
58.22,7.78,Norway
58.22,7.87,Norway
58.22,7.95,Norway
58.22,8.04,Norway
58.22,8.12,Norway
58.22,8.21,Norway
58.22,8.29,Norway
58.22,8.38,Norway
58.22,8.46,Norway
58.26,6.42,Norway
58.26,6.51,Norway
58.26,6.59,Norway
58.26,6.68,Norway
58.26,6.76,Norway
58.26,6.85,Norway
58.26,6.93,Norway
58.26,7.02,Norway
58.26,7.1,Norway
58.26,7.19,Norway
58.26,7.27,Norway
58.26,7.36,Norway
58.26,7.44,Norway
58.26,7.53,Norway
58.26,7.61,Norway
58.26,7.7,Norway
58.26,7.78,Norway
58.26,7.87,Norway
58.26,7.95,Norway
58.26,8.04,Norway
58.26,8.12,Norway
58.26,8.21,Norway
58.26,8.29,Norway
58.26,8.38,Norway
58.26,8.46,Norway
58.26,8.55,Norway
58.3,6.34,Norway
58.3,6.42,Norway
58.3,6.51,Norway
58.3,6.59,Norway
58.3,6.68,Norway
58.3,6.76,Norway
58.3,6.85,Norway
58.3,6.93,Norway
58.3,7.02,Norway
