,lat,lon
0,57.97,7.67
1,57.97,7.83
2,57.97,8.0
3,58.05,7.5
4,58.05,7.67
5,58.05,7.83
6,58.05,8.0
7,58.05,8.17
8,58.13,7.16
9,58.13,7.33
10,58.13,7.5
11,58.13,7.67
12,58.13,7.83
13,58.13,8.0
14,58.13,8.17
15,58.13,8.34
16,58.22,6.99
17,58.22,7.16
18,58.22,7.33
19,58.22,7.5
20,58.22,7.67
21,58.22,7.83
22,58.22,8.0
23,58.22,8.17
24,58.22,8.34
25,58.22,8.51
26,58.3,6.66
27,58.3,6.82
28,58.3,6.99
29,58.3,7.16
30,58.3,7.33
31,58.3,7.5
32,58.3,7.67
33,58.3,7.83
34,58.3,8.0
35,58.3,8.17
36,58.3,8.34
37,58.3,8.51
38,58.3,8.68
39,58.38,6.49
40,58.38,6.66
41,58.38,6.82
42,58.38,6.99
43,58.38,7.16
44,58.38,7.33
45,58.38,7.5
46,58.38,7.67
47,58.38,7.83
48,58.38,8.0
49,58.38,8.17
50,58.38,8.34
51,58.38,8.51
52,58.38,8.68
53,58.46,6.15
54,58.46,6.32
55,58.46,6.49
56,58.46,6.66
57,58.46,6.82
58,58.46,6.99
59,58.46,7.16
60,58.46,7.33
61,58.46,7.5
62,58.46,7.67
63,58.46,7.83
64,58.46,8.0
65,58.46,8.17
66,58.46,8.34
67,58.46,8.51
68,58.46,8.68
69,58.46,8.84
70,58.54,5.98
71,58.54,6.15
72,58.54,6.32
73,58.54,6.49
74,58.54,6.66
75,58.54,6.82
76,58.54,6.99
77,58.54,7.16
78,58.54,7.33
79,58.54,7.5
80,58.54,7.67
81,58.54,7.83
82,58.54,8.0
83,58.54,8.17
84,58.54,8.34
85,58.54,8.51
86,58.54,8.68
87,58.54,8.84
88,58.54,9.01
89,58.62,5.64
90,58.62,5.81
91,58.62,5.98
92,58.62,6.15
93,58.62,6.32
94,58.62,6.49
95,58.62,6.66
96,58.62,6.82
97,58.62,6.99
98,58.62,7.16
99,58.62,7.33
100,58.62,7.5
101,58.62,7.67
102,58.62,7.83
103,58.62,8.0
104,58.62,8.17
105,58.62,8.34
106,58.62,8.51
107,58.62,8.68
108,58.62,8.84
109,58.62,9.01
110,58.62,9.18
111,58.7,5.64
112,58.7,5.81
113,58.7,5.98
114,58.7,6.15
115,58.7,6.32
116,58.7,6.49
117,58.7,6.66
118,58.7,6.82
119,58.7,6.99
120,58.7,7.16
121,58.7,7.33
122,58.7,7.5
123,58.7,7.67
124,58.7,7.83
125,58.7,8.0
126,58.7,8.17
127,58.7,8.34
128,58.7,8.51
129,58.7,8.68
130,58.7,8.84
131,58.7,9.01
132,58.7,9.18
133,58.7,9.35
134,58.79,5.64
135,58.79,5.81
136,58.79,5.98
137,58.79,6.15
138,58.79,6.32
139,58.79,6.49
140,58.79,6.66
141,58.79,6.82
142,58.79,6.99
